Disease,Specialization
Acne,Dermatologist
Hyperthyroidism,Endocrinologist
AIDS,Infectious Disease Specialist
Chronic cholestasis,Hepatologist
Hypertension,Cardiologist
Hypoglycemia,Endocrinologist
Arthritis,Rheumatologist
Hepatitis B,Hepatologist
Migraine,Neurologist
Urinary tract infection,Urologist
Diabetes,Endocrinologist
Hepatitis D,Hepatologist
Psoriasis,Dermatologist
Alcoholic hepatitis,Hepatologist
Dimorphic hemmorhoids(piles),General Surgeon
Hepatitis E,Hepatologist
Cervical spondylosis,Orthopedic Surgeon
Bronchial Asthma,Pulmonologist
Hepatitis A,Hepatologist
Allergy,Allergist/Immunologist
Hepatitis C,Hepatologist
Pneumonia,Pulmonologist
Hypothyroidism,Endocrinologist
Gastroenteritis,Gastroenterologist
Varicose veins,Vascular Surgeon
Jaundice,Hepatologist
Drug Reaction,Allergist/Immunologist
(vertigo) Paroymsal Positional Vertigo,Neurologist
Heart attack,Cardiologist
Tuberculosis,Pulmonologist
Typhoid,Infectious Disease Specialist
Common Cold,General Practitioner
Peptic ulcer diseae,Gastroenterologist
Paralysis (brain hemorrhage),Neurologist
Fungal infection,Dermatologist
Impetigo,Dermatologist
GERD,Gastroenterologist
Dengue,Infectious Disease Specialist
Malaria,Infectious Disease Specialist
Chicken pox,Infectious Disease Specialist
Osteoarthristis,Orthopedic Surgeon
